xb,yb,xr,yr,heading,step
0.0007443443647740559,-0.05019509904497821,0.0008725595978249351,-0.10056444274615321,0.10022000538427052,0.0
0.0004883833105659243,-0.023298197199495413,0.0008803757611516463,-0.10056810934627661,0.09995148337483914,1.0
0.00039083409374484365,-0.03162524450694436,0.000880930944674744,-0.10056837038699819,0.09993194949161328,2.0
0.0003475175658708272,-0.027035815107133376,0.000881375072379301,-0.10056857931854021,0.09991623981691962,3.0
0.0003003102704299221,-0.0227051239299583,0.0008817303631828388,-0.10056874654303434,0.0999036083802826,4.0
0.0002531735933713377,-0.01878064049612703,0.0008820145893522778,-0.10056888038609585,0.09989345466132547,5.0
0.00021255138915960575,-0.01527637400485636,0.0008822419667411357,-0.10056898751135615,0.09988529525226215,6.0
0.00017533379834617905,-0.012194699018821975,0.000882423866712633,-0.1005690732522385,0.09987874103343529,7.0
0.00014207445033811918,-0.009520424602898064,0.0008825693854883786,-0.10056914187750043,0.09987347879155498,8.0
0.0001129066042476779,-0.007223238918437555,0.0008826857994891274,-0.10056919680376626,0.09986925641863129,9.0
8.78457474773808e-05,-0.005283362567323105,0.0008827789295096922,-0.1005692407656317,0.09986587099448672,10.0
6.66424765834782e-05,-0.0036661265997539605,0.0008828534319901573,-0.10056927595181166,0.09986315919238417,11.0
4.889024837584409e-05,-0.002328308757068062,0.0008829130319835688,-0.10056930411410951,0.09986098955526593,12.0
3.414726015632985e-05,-0.0012286345269810206,0.0008829607094962983,-0.10056932665463351,0.09985925627798578,13.0
2.1981914446940606e-05,-0.0003294060388784742,0.0008829988485368272,-0.10056934469560334,0.099857874202388,14.0
1.1993205433429455e-05,0.00040279623882226445,0.0008830293563387153,-0.10056935913522105,0.0998567747886642,15.0
3.822124379925852e-06,0.0009969393345103245,0.0008830537587280455,-0.10056937069238978,0.09985590287257426,16.0
-2.8127389934864532e-06,0.0014777070793711572,0.0008830732764104621,-0.10056937994250524,0.09985521405540684,17.0
-8.183561772456935e-06,0.0018658533612207068,0.0008830888859963494,-0.10056938734610256,0.09985467260307032,18.0
-1.2521074570121167e-05,0.0021786505522929517,0.0008831013688182652,-0.10056939327178487,0.09985424975536081,19.0
-1.601756915319821e-05,0.002430355013476576,0.0008831113499831217,-0.10056939801457461,0.09985392236485016,20.0
-1.8831916465667322e-05,0.0026326592451555997,0.0008831193296133967,-0.1005694018106018,0.09985367180164291,21.0
-2.1094498910226756e-05,0.0027951041159285095,0.0008831257078395558,-0.10056940484886011,0.09985348307166284,22.0
-2.2911757108205256e-05,0.002925443444167772,0.0008831308047944176,-0.10056940728061615,0.09985334410719847,23.0
-2.437019967489642e-05,0.0030299585287380526,0.0008831348862434223,-0.10056940922668672,0.09985323548590004,24.0
